Date,Symbols,Close,High,Low,Open,Volume
2020-01-02,AMZN,1898.01,1898.01,1864.15,1875.0,4035910.0
2020-01-02,GOOGL,1368.68,1368.68,1346.49,1348.41,1364265.0
2020-01-02,FB,209.78,209.79,206.27,206.75,12090707.0
2020-01-02,TWTR.US,32.3,32.5,31.96,32.31,10694420.0
2020-01-02,MSFT.US,157.27,157.37,155.05,155.49,23113760.0
2020-01-02,TTST.UK,6.5645,6.6413,6.4877,6.4877,6371.0
2020-01-03,AMZN,1874.97,1886.2,1864.5,1864.5,3766604.0
2020-01-03,GOOGL,1361.52,1373.75,1347.32,1348.0,1170629.0
2020-01-03,FB,208.67,210.4,206.95,207.214,11197416.0
2020-01-03,TWTR.US,31.52,32.1,31.26,31.71,14440378.0
2020-01-03,MSFT.US,155.34,156.65,154.78,155.04,21568864.0
2020-01-03,TTST.UK,6.4877,6.8524,6.4685,6.8524,5471.0
2020-01-06,AMZN,1902.88,1903.69,1860.0,1860.0,4065698.0
2020-01-06,GOOGL,1397.81,1398.32,1351.0,1351.63,2339343.0
2020-01-06,FB,212.6,212.78,206.52,206.7,17073861.0
2020-01-06,TWTR.US,31.64,31.71,31.16,31.23,12585831.0
2020-01-06,MSFT.US,155.74,155.81,153.25,153.8,21267639.0
2020-01-06,TTST.UK,6.4109,6.5069,6.3917,6.5069,668.0
2020-01-07,AMZN,1906.86,1913.89,1892.04,1904.5,4134010.0
2020-01-07,GOOGL,1395.11,1403.5,1391.56,1400.46,1726456.0
2020-01-07,FB,213.06,214.58,211.75,212.82,15111857.0
2020-01-07,TWTR.US,32.54,32.695,31.72,31.8,13998267.0
2020-01-07,MSFT.US,154.3,156.38,154.04,156.03,22345015.0
2020-01-07,TTST.UK,6.4109,6.4109,6.3534,6.4109,3836.0
2020-01-08,AMZN,1891.97,1911.0,1886.44,1898.04,3511966.0
2020-01-08,GOOGL,1405.04,1411.85,1392.63,1394.82,1766274.0
2020-01-08,FB,215.22,216.24,212.612,213.0,13492703.0
2020-01-08,TWTR.US,33.05,33.4,32.35,32.35,14637344.0
2020-01-08,MSFT.US,156.79,157.44,154.67,155.64,28349797.0
2020-01-08,TTST.UK,6.4877,6.5261,6.4301,6.4301,118.0
2020-01-09,AMZN,1901.05,1917.82,1895.8,1909.89,3174962.0
2020-01-09,GOOGL,1419.79,1428.68,1410.21,1421.93,1661438.0
2020-01-09,FB,218.3,218.38,216.278,217.54,12679579.0
2020-01-09,TWTR.US,33.22,33.54,33.0,33.53,10892335.0
2020-01-09,MSFT.US,158.72,158.84,157.67,158.47,21853027.0
2020-01-09,TTST.UK,6.6029,6.6221,6.5453,6.6029,695.0
2020-01-10,AMZN,1883.16,1906.94,1880.0,1905.37,2856959.0
2020-01-10,GOOGL,1428.96,1434.94,1419.6,1429.47,1313178.0
2020-01-10,FB,218.06,219.88,217.42,219.2,12127432.0
2020-01-10,TWTR.US,32.78,33.01,32.46,32.86,11156038.0
2020-01-10,MSFT.US,157.98,159.85,157.82,159.45,21172920.0
2020-01-10,TTST.UK,6.6605,6.7373,6.5645,6.5837,12273.0
2020-01-13,AMZN,1891.3,1898.0,1880.8,1891.31,2785844.0
2020-01-13,GOOGL,1440.03,1441.48,1425.37,1435.25,1537317.0
2020-01-13,FB,221.91,221.97,219.21,219.597,14494517.0
2020-01-13,TWTR.US,32.69,33.07,32.49,32.97,11008264.0
2020-01-13,MSFT.US,159.91,159.94,157.9,158.4,22095101.0
2020-01-13,TTST.UK,6.7564,6.8332,6.6605,6.8332,6867.0
2020-01-14,AMZN,1869.44,1887.11,1858.55,1885.88,3446381.0
2020-01-14,GOOGL,1430.59,1442.63,1427.77,1440.0,1305636.0
2020-01-14,FB,219.06,222.38,218.63,221.61,13315361.0
2020-01-14,TWTR.US,32.82,33.12,32.64,32.69,9816501.0
2020-01-14,MSFT.US,158.76,160.22,158.36,160.01,23998336.0
2020-01-14,TTST.UK,6.6796,6.6796,6.6413,6.6413,2153.0
2020-01-15,AMZN,1862.02,1878.86,1855.09,1872.25,2896592.0
2020-01-15,GOOGL,1439.2,1440.78,1431.66,1433.02,1077519.0
2020-01-15,FB,221.15,221.68,220.14,220.61,10036475.0
2020-01-15,TWTR.US,33.23,33.51,32.95,32.99,11262325.0
2020-01-15,MSFT.US,159.81,160.56,159.2,159.25,21871325.0
2020-01-15,TTST.UK,6.7373,6.7564,6.7373,6.7564,3021.0
2020-01-16,AMZN,1877.94,1885.59,1866.02,1882.99,2659493.0
2020-01-16,GOOGL,1450.16,1450.7,1440.0,1445.45,1304040.0
2020-01-16,FB,221.77,222.63,220.39,222.57,10015288.0
2020-01-16,TWTR.US,34.19,34.27,33.03,33.5,19919940.0
2020-01-16,MSFT.US,162.72,162.79,160.65,160.94,24370632.0
2020-01-16,TTST.UK,6.6029,6.6796,6.5837,6.6796,66800.0
2020-01-17,AMZN,1864.72,1886.64,1857.25,1885.89,3997340.0
2020-01-17,GOOGL,1479.52,1480.55,1456.55,1462.54,2621175.0
2020-01-17,FB,222.14,222.29,220.53,222.03,15905944.0
2020-01-17,TWTR.US,34.22,34.39,33.58,33.8197,19303535.0
2020-01-17,MSFT.US,163.64,164.0,161.99,163.95,35099367.0
2020-01-17,TTST.UK,6.6029,6.6796,6.6029,6.6029,39436.0
2020-01-20,TTST.UK,6.5645,6.6029,6.5261,6.6029,11370.0
2020-01-21,AMZN,1892.0,1894.27,1860.0,1865.0,3707785.0
2020-01-21,GOOGL,1482.25,1489.88,1470.21,1479.0,2446601.0
2020-01-21,FB,221.44,222.37,219.12,222.155,14275784.0
2020-01-21,TWTR.US,34.09,34.385,33.87,34.08,17055610.0
2020-01-21,MSFT.US,163.05,164.7,162.98,163.23,30142122.0
2020-01-21,TTST.UK,6.3534,6.4493,6.3534,6.4493,1559.0
2020-01-22,AMZN,1887.46,1902.5,1883.34,1896.09,3216257.0
2020-01-22,GOOGL,1484.17,1500.58,1482.66,1489.73,1422946.0
2020-01-22,FB,221.32,222.75,221.28,222.31,12212814.0
2020-01-22,TWTR.US,34.02,34.54,33.955,34.29,12851777.0
2020-01-22,MSFT.US,162.25,164.02,162.23,163.93,24649838.0
2020-01-22,TTST.UK,6.3342,6.3534,6.2958,6.3534,3723.0
2020-01-23,AMZN,1884.58,1889.98,1872.76,1885.11,2484613.0
2020-01-23,GOOGL,1484.69,1493.5,1480.32,1487.55,1332562.0
2020-01-23,FB,219.76,221.485,219.27,220.75,11195000.0
2020-01-23,TWTR.US,33.89,34.36,33.72,33.99,14887188.0
2020-01-23,MSFT.US,163.27,163.35,161.83,162.74,20097443.0
2020-01-23,TTST.UK,6.3342,6.3725,6.315,6.3725,5530.0
2020-01-24,AMZN,1861.64,1894.99,1847.44,1891.37,3766181.0
2020-01-24,GOOGL,1466.17,1494.2,1463.18,1492.82,1489280.0
2020-01-24,FB,217.94,221.78,216.11,220.8,11905824.0
2020-01-24,TWTR.US,33.19,34.11,32.97,34.11,12336565.0
2020-01-24,MSFT.US,161.6,164.06,161.04,164.04,25445677.0
2020-01-24,TTST.UK,6.3725,6.4301,6.3534,6.3917,23826.0
2020-01-27,AMZN,1828.34,1841.0,1815.34,1820.0,3528509.0
2020-01-27,GOOGL,1431.73,1436.58,1419.5,1431.54,1706566.0
2020-01-27,FB,214.87,216.06,212.5,213.1,13810655.0
2020-01-27,TWTR.US,32.78,32.93,32.15,32.31,11800757.0
2020-01-27,MSFT.US,158.91,160.0,156.89,157.79,32757216.0
2020-01-27,TTST.UK,6.0655,6.1614,6.0271,6.1422,5507.0
2020-01-28,AMZN,1853.25,1858.11,1830.02,1840.5,2808040.0
2020-01-28,GOOGL,1450.5,1454.8,1430.36,1441.74,1486586.0
2020-01-28,FB,217.79,218.74,213.52,216.14,13413835.0
2020-01-28,TWTR.US,33.42,33.66,32.85,33.06,9739386.0
2020-01-28,MSFT.US,162.02,162.3,159.7,160.4,25427116.0
2020-01-28,TTST.UK,6.0271,6.1806,6.0078,6.1806,3636.0
2020-01-29,AMZN,1858.0,1874.75,1855.02,1864.0,2101390.0
2020-01-29,GOOGL,1456.7,1464.14,1445.39,1458.46,1081964.0
2020-01-29,FB,223.23,224.2,218.45,221.44,33610005.0
2020-01-29,TWTR.US,33.63,33.88,33.2927,33.59,7582161.0
2020-01-29,MSFT.US,164.55,165.26,162.24,164.37,35871488.0
2020-01-29,TTST.UK,6.0846,6.0846,6.0271,6.0271,1856.0
2020-01-30,AMZN,1870.68,1872.87,1850.61,1858.0,6327438.0
2020-01-30,GOOGL,1454.25,1455.25,1435.0,1438.1,1355472.0
2020-01-30,FB,209.53,211.43,204.75,206.53,48775500.0
2020-01-30,TWTR.US,33.22,33.23,32.39,32.86,12083785.0
2020-01-30,MSFT.US,169.2,170.44,167.24,170.44,52689880.0
2020-01-30,TTST.UK,5.8351,6.0271,5.8351,6.0271,13362.0
2020-01-31,AMZN,2008.72,2055.72,2002.27,2051.47,15567283.0
2020-01-31,GOOGL,1432.78,1469.67,1427.06,1467.86,2191075.0
2020-01-31,FB,201.91,208.69,201.06,208.43,31359917.0
2020-01-31,TWTR.US,32.48,33.14,32.08,33.11,12033053.0
2020-01-31,MSFT.US,166.7,168.83,166.06,168.64,36907895.0
2020-01-31,TTST.UK,5.7199,5.8735,5.7199,5.8543,47266.0
2020-02-03,AMZN,2004.2,2048.5,2000.25,2010.6,5899094.0
2020-02-03,GOOGL,1482.6,1486.3,1456.61,1461.65,3608760.0
2020-02-03,FB,204.19,205.14,202.5,203.44,15510509.0
2020-02-03,TWTR.US,33.07,33.24,32.45,32.56,14196194.0
2020-02-03,MSFT.US,170.77,170.88,166.86,166.89,30787361.0
2020-02-03,TTST.UK,5.7967,5.8735,5.6624,5.6624,97965.0
2020-02-04,AMZN,2049.67,2059.8,2015.37,2029.88,5289338.0
2020-02-04,GOOGL,1445.41,1467.34,1422.03,1454.49,4793967.0
2020-02-04,FB,209.83,210.6,205.203,206.617,19628890.0
2020-02-04,TWTR.US,33.96,34.115,33.4,33.75,14598184.0
2020-02-04,MSFT.US,176.39,176.9,172.65,173.48,37204697.0
2020-02-04,TTST.UK,6.0462,6.1039,5.9694,5.9694,28255.0
2020-02-05,AMZN,2039.87,2071.02,2032.0,2071.02,4376174.0
2020-02-05,GOOGL,1446.05,1464.58,1429.68,1463.61,1818793.0
2020-02-05,FB,210.11,212.73,208.71,212.51,12538154.0
2020-02-05,TWTR.US,33.39,34.16,33.19,34.0,20468190.0
2020-02-05,MSFT.US,176.17,180.38,174.7,180.21,40015968.0
2020-02-05,TTST.UK,6.3342,6.4301,6.0846,6.1039,32478.0
2020-02-06,AMZN,2050.23,2056.3,2024.8,2041.02,3182954.0
2020-02-06,GOOGL,1475.97,1481.56,1450.48,1451.98,1891079.0
2020-02-06,FB,210.85,211.19,209.338,210.47,10567533.0
2020-02-06,TWTR.US,38.41,39.64,36.42,36.53,87659732.0
2020-02-06,MSFT.US,179.81,180.0,176.33,177.23,28338927.0
2020-02-06,TTST.UK,6.3342,6.4493,6.2958,6.4493,28062.0
2020-02-07,AMZN,2079.28,2098.53,2038.1,2041.99,5095347.0
2020-02-07,GOOGL,1479.11,1485.25,1465.41,1467.39,1418049.0
2020-02-07,FB,212.33,212.82,209.93,210.3,12242530.0
2020-02-07,TWTR.US,37.03,38.15,36.84,37.63,31135081.0
2020-02-07,MSFT.US,180.07,181.78,178.69,179.05,34238945.0
2020-02-07,TTST.UK,6.1998,6.3342,6.123,6.315,38746.0
2020-02-10,AMZN,2133.91,2135.6,2084.96,2085.01,5056235.0
2020-02-10,GOOGL,1508.66,1508.88,1475.2,1477.23,1915072.0
2020-02-10,FB,213.06,213.8,210.66,211.52,11856350.0
2020-02-10,TWTR.US,35.96,36.85,35.65,36.63,34860315.0
2020-02-10,MSFT.US,184.79,184.93,179.45,179.76,36603153.0
2020-02-10,TTST.UK,5.8735,6.0846,5.8543,5.9503,97620.0
2020-02-11,AMZN,2150.8,2185.95,2136.0,2150.9,5746011.0
2020-02-11,GOOGL,1510.06,1529.88,1505.45,1513.27,1742647.0
2020-02-11,FB,207.19,210.86,206.51,210.19,25030810.0
2020-02-11,TWTR.US,35.65,36.28,35.535,36.12,14464738.0
2020-02-11,MSFT.US,180.62,186.75,179.68,186.7,54285395.0
2020-02-11,TTST.UK,5.9119,6.0078,5.9119,6.0078,948.0
2020-02-12,AMZN,2160.0,2180.25,2155.29,2163.2,3334264.0
2020-02-12,GOOGL,1518.63,1520.3,1508.67,1515.86,1552136.0
2020-02-12,FB,210.76,211.22,207.4,207.85,13813704.0
2020-02-12,TWTR.US,36.79,37.02,36.17,36.19,20716437.0
2020-02-12,MSFT.US,180.89,182.0,178.08,181.73,48059327.0
2020-02-12,TTST.UK,5.931,5.9694,5.8926,5.9119,111678.0
2020-02-13,AMZN,2149.87,2170.28,2142.0,2144.99,3031791.0
2020-02-13,GOOGL,1513.39,1525.95,1504.0,1510.0,1145658.0
2020-02-13,FB,213.14,214.326,209.18,209.524,15396625.0
2020-02-13,TWTR.US,37.16,37.32,36.21,36.43,19621434.0
2020-02-13,MSFT.US,179.89,182.37,179.07,179.28,36043110.0
2020-02-13,TTST.UK,5.8543,5.8543,5.8543,5.8543,480.0
2020-02-14,AMZN,2134.87,2159.04,2125.89,2155.68,2606169.0
2020-02-14,GOOGL,1518.73,1520.05,1505.55,1514.53,1159857.0
2020-02-14,FB,214.18,214.93,212.65,214.0,10741747.0
2020-02-14,TWTR.US,36.91,37.35,36.58,37.0,12210390.0
2020-02-14,MSFT.US,181.52,181.57,178.85,179.45,23639634.0
2020-02-14,TTST.UK,5.7967,5.7967,5.6815,5.7776,592.0
2020-02-17,TTST.UK,5.7967,5.7967,5.7967,5.7967,
2020-02-18,AMZN,2155.67,2166.07,2124.11,2125.02,2951070.0
2020-02-18,GOOGL,1519.44,1530.56,1511.01,1514.34,1284011.0
2020-02-18,FB,217.8,217.975,213.4,213.55,15630026.0
2020-02-18,TWTR.US,38.06,38.07,36.68,36.78,16821347.0
2020-02-18,MSFT.US,183.33,183.8,181.66,181.76,28442813.0
2020-02-18,TTST.UK,5.7008,5.7392,5.6624,5.6624,9330.0
2020-02-19,AMZN,2170.22,2185.1,2161.12,2167.8,2561165.0
2020-02-19,GOOGL,1524.87,1530.74,1520.98,1527.2,1137338.0
2020-02-19,FB,217.49,218.32,216.11,217.99,12135114.0
2020-02-19,TWTR.US,38.77,38.91,37.935,38.09,19068566.0
2020-02-19,MSFT.US,183.89,184.78,183.09,184.67,30549132.0
